dag,reviewer,param_key,param_val,is_default,seed,app_timeout_rate,delay_succ,delay_all,UtilityScore_all,UtilityScore_succ,energy
wide,R1-6,LAMBDA_GUIDE,0p05,False,1,0.006666666666666667,0.41046989547299684,0.4105374434401106,0.7494456882629396,0.7494456882629396,0.11670954322626599
wide,R1-6,LAMBDA_GUIDE,0p1,False,1,0.0,0.39986450027716486,0.3991528468994851,0.75302347949469,0.75302347949469,0.1167906888000125
wide,R1-6,LAMBDA_GUIDE,0p2,False,1,0.0,0.3970387811803248,0.3972879778544236,0.7538852193413494,0.7538852193413494,0.11673894168684337
wide,R1-6,LAMBDA_GUIDE,0p4,False,1,0.006666666666666667,0.40118081108142195,0.4052742921228134,0.749627662829011,0.749627662829011,0.11686719251704748
wide,R1-6,LAMBDA_GUIDE,0,False,1,0.02,0.41370271796892755,0.4203942468543135,0.7391626804915615,0.7391626804915615,0.11643680457762985
wide,R1-6,LAMBDA_GUIDE,0p05,False,3,0.04666666666666667,0.4758015635211833,0.46823157350895306,0.7026829369972173,0.7026829369972173,0.13365749351738537
wide,R1-6,LAMBDA_GUIDE,0p1,False,3,0.04666666666666667,0.4735940957941358,0.4666762606696193,0.7025037993040822,0.7025037993040822,0.1335654037692121
wide,R1-6,LAMBDA_GUIDE,0p2,False,3,0.04,0.47209048321645203,0.467485179146639,0.7130995584554828,0.7130995584554828,0.13316440306810975
wide,R1-6,LAMBDA_GUIDE,0p4,False,3,0.06,0.4723637179490447,0.47160610683779236,0.6739868749605331,0.6739868749605331,0.13267910620151066
wide,R1-6,LAMBDA_GUIDE,0,False,3,0.04666666666666667,0.4719465351263713,0.46936792107582276,0.7026381609224429,0.7026381609224429,0.13378194704858007
wide,R1-6,LAMBDA_GUIDE,0p05,False,5,0.06,0.4817214674075328,0.504897871382762,0.6702902877629026,0.6702902877629026,0.13142588798363875
wide,R1-6,LAMBDA_GUIDE,0p1,False,5,0.06666666666666667,0.4547568899154989,0.5019856299718325,0.6535541002477927,0.6535541002477927,0.13095246090359133
wide,R1-6,LAMBDA_GUIDE,0p2,False,5,0.12,0.48928163039360717,0.5081130333207059,0.4339583115266324,0.4339583115266324,0.1264980921938978
wide,R1-6,LAMBDA_GUIDE,0p4,False,5,0.11333333333333333,0.4667767957713751,0.5054374438956009,0.46765697566403774,0.46765697566403774,0.12674620349095664
wide,R1-6,LAMBDA_GUIDE,0,False,5,0.05333333333333334,0.4592810479342088,0.5054174299505257,0.6850070373501509,0.6850070373501509,0.13172317071298548
wide,R1-6,LAMBDA_GUIDE,0p05,False,7,0.0,0.4086325473394953,0.4065419435523356,0.7559095821687639,0.7559095821687639,0.11870645211772594
wide,R1-6,LAMBDA_GUIDE,0p1,False,7,0.0,0.4035430545891676,0.40088323058596204,0.7560391696891491,0.7560391696891491,0.11901058466511176
wide,R1-6,LAMBDA_GUIDE,0p2,False,7,0.0,0.4087167493675945,0.4052775210806376,0.7558771760297357,0.7558771760297357,0.11896120354988872
wide,R1-6,LAMBDA_GUIDE,0p4,False,7,0.0,0.4010197710881463,0.39933139092717357,0.7560067783638827,0.7560067783638827,0.11909597481931049
wide,R1-6,LAMBDA_GUIDE,0,False,7,0.0,0.40559910493852247,0.4048551705763641,0.7559419846039547,0.7559419846039547,0.11868782698921439
wide,R1-6,LAMBDA_GUIDE,0p05,False,42,0.02,0.4209321398005529,0.42243892582049763,0.7424211597344463,0.7424211597344463,0.12767673968007506
wide,R1-6,LAMBDA_GUIDE,0p1,False,42,0.02,0.4269462535832865,0.42702567817718073,0.7418889254294874,0.7418889254294874,0.12758102939146476
wide,R1-6,LAMBDA_GUIDE,0p2,False,42,0.006666666666666667,0.4260221042608605,0.4275668552249194,0.7510341429214407,0.7510341429214407,0.12733213547581707
wide,R1-6,LAMBDA_GUIDE,0p4,False,42,0.006666666666666667,0.42360522422113683,0.42623926398126716,0.7510341429214407,0.7510341429214407,0.1276519700290403
